title,,,,cast,,,
The Silence of the Marsh,,,,"Pedro Alonso, Nacho Fresneda, Carmina Barrios, José Ángel Egido, Àlex Monner, Raúl Prieto, Maite Sandoval, Javier Godino, Luis Zahera, Miguel de Lira",,,
The Willoughbys,,,,"Will Forte, Maya Rudolph, Ricky Gervais, Alessia Cara, Terry Crews, Jane Krakowski, Martin Short, Seán Cullen",,,
Varane Avashyamund,,,,"Shobana, Suresh Gopi, Dulquer Salmaan, Kalyani Priyadarshan, K.P.A.C. Lalitha, Sarvajith Santosh Sivan, Urvashi, Johny Antony, Lalu Alex, Lal Jose",,,
Babamın Ceketi,,,,"Müfit Can Saçıntı, Mert Turak, Ünal Yeter, Elif Nur Kerkük, Uğur Demirpehlivan, Ayşen Gruda, Erkan Can, Banu Manioğlu",,,
Earth and Blood,,,,"Sami Bouajila, Eriq Ebouaney, Samy Seghir, Sofia Lesaffre",,,
Rising High,,,,"David Kross, Frederick Lau, Janina Uhse, Anne Schäfer, Sophia Thomalla",,,
Sergio,,,,"Wagner Moura, Ana de Armas, Brían F. O'Byrne, Clemens Schick, Bradley Whitford",,,
The Legacy of the Bones,,,,"Marta Etura, Carlos Librado ""Nene"", Leonardo Sbaraglia, Francesc Orella, Imanol Arias, Benn Northover, Itziar Aizpuru, Patricia López Arnaiz, Alicia Sánchez, Eduardo Rosa",,,
Alelí,,,,"Néstor Guzzini, Mirella Pascual, Cristina Morán, Romina Peluffo, Laila Reyes Silberberg, Pablo Tate, Gerónimo Pizzanelli, Georgina Yankelevich, Julio Icasuriaga, Carla Moscatelli",,,
"Hail, Caesar!",,,,"Josh Brolin, George Clooney, Scarlett Johansson, Alden Ehrenreich, Ralph Fiennes, Tilda Swinton, Channing Tatum, Frances McDormand, Jonah Hill, Veronica Osorio, Heather Goldenhersh, Alison Pill",,,
Jem and the Holograms,,,,"Aubrey Peeples, Stefanie Scott, Hayley Kiyoko, Aurora Perrineau, Juliette Lewis, Molly Ringwald, Ryan Guzman, Nathan Moore, Barnaby Carpenter, Nicholas Braun",,,
Maurício Meirelles: Generating Chaos,,,,Maurício Meirelles,,,
Puerto Ricans in Paris,,,,"Luis Guzmán, Edgar Garcia, Alice Taglioni, Rosie Perez, Miriam Shor, Frédéric Anscombre, Rosario Dawson, Julie Ferrier, Michaël Cohen, Ravi Patel",,,
Stunt School,,,,"Aslı İnandık, Toygan Avanoğlu, Tuna Orhan, Caner Özyurtlu, Melis İşiten, Aslı Turanlı, Ahmet Olgun Sünear, Seda Türkmen, Ayten Uncuoğlu",,,
For the Broken Hearted,,,,"Yassi Pressman, Sam Concepcion, Louise De Los Reyes, Shy Carlos, Marco Gumabao, Katya Santos, Andrea Del Rosario, Lander Vera Perez, Christopher Roxas",,,
Mischief,,,,"Suraj Venjaramoodu, Soubin Shahir, Surabhi Lakshmi, Vincy Aloshious, Gracy Soudi, Mammukoya, Jaffer Idukki, Baburaj, Sudhi Koppa, Irshad",,,
World Famous Lover,,,,"Vijay Deverakonda, Raashi Khanna, Aishwarya Rajesh, Catherine Tresa, Izabelle Leite",,,
Chris D'Elia: No Pain,,,,Chris D'Elia,,,
New Money,,,,"Jemima Osunde, Blossom Chukwujekwu, Kate Henshaw-Nuttal, Dakore Akande, Wale Ojo, Wofai Fada, Osas Ighodaro Ajibade, Falz, Daniel Effiong, Adeolu Adefarasin",,,
Moms at War,,,,"Omoni Oboli, Funke Akindele, Yul Edochie, Abayomi Alvin, Adebukola Oladipupo, Sharon Ooja, Eucharia Anunobi, Harriet Akinola, Michelle Dede",,,
Surviving R. Kelly: The Impact,,,,R. Kelly,,,
Code 8,,,,"Robbie Amell, Stephen Amell, Sung Kang, Kari Matchett, Greg Bryk, Aaron Abrams, Kyla Kane",,,
LA Originals,,,,,,,
Love Wedding Repeat,,,,"Sam Claflin, Olivia Munn, Freida Pinto, Eleanor Tomlinson, Joel Fry, Tim Key, Aisling Bea, Jack Farthing, Allan Mustafa",,,
School Life,,,,"Zita Hanrot, Liam Pierron, Soufiane Guerrab, Ibrahim Dramé, Moussa Mansaly, Moryfère Camara, Alban Ivanov, Gaspard Gévin-Hié, Antoine Reinartz, Mahamadou Sangaré, Redouane Bougheraba, Hocine Mokando, Aboudou Sacko",,,
The Main Event,,,,"Seth Carr, Tichina Arnold, Adam Pally, Ken Marino, Mike 'The Miz' Mizanin, Momona Tamada, Keith Lee, Babatunde Aiyegbusi, Kofi Kingston",,,
Tigertail,,,,"Tzi Ma, Christine Ko, Hong-Chi Lee, Hayden Szeto, Kunjue Li, Fiona Fu, James Saito, Joan Chen",,,
Born Beautiful,,,,"Martin del Rosario, Lou Veloso, Chai Fonacier, Kiko Matos, Akihiro Blanco, Paolo Ballesteros",,,
The Last Airbender,,,,"Noah Ringer, Dev Patel, Nicola Peltz, Jackson Rathbone, Shaun Toub, Aasif Mandvi, Cliff Curtis, Seychelle Gabriel, Jessica Andres, Keong Sim, Summer Bishil, Francis Guinan, Katharine Houghton, Damon Gupton",,,
Tiffany Haddish: She Ready! From the Hood To Hollywood!,,,,Tiffany Haddish,,,
Mine 9,,,,"Terry Serpico, Kevin Sizemore, Mark Ashworth, Clint James, Drew Starkey, Erin Elizabeth Burns",,,
The Florida Project,,,,"Brooklynn Prince, Bria Vinaite, Willem Dafoe, Christopher Rivera, Valeria Cotto, Macon Blair, Caleb Landry Jones",,,
Dark Light,,,,"Jessica Madsen, Opal Littleton, Ed Brody, Kristina Clifford, Ben Sullivan, Gerald Tyler, Weston Meredith",,,
The Killing of a Sacred Deer,,,,"Colin Farrell, Nicole Kidman, Barry Keoghan, Alicia Silverstone, Raffey Cassidy, Sunny Suljic, Bill Camp, Drew Logan, Barry G. Bernson, Denise Dal Vera, Herb Caillouet",,,
Angel Has Fallen,,,,"Gerard Butler, Morgan Freeman, Nick Nolte, Danny Huston, Jada Pinkett Smith, Lance Reddick, Tim Blake Nelson, Piper Perabo",,,
Coffee & Kareem,,,,"Ed Helms, Taraji P. Henson, Terrence Little Gardenhigh, Betty Gilpin",,,
Money Heist: The Phenomenon,,,,,,,
The Death of Stalin,,,,"Steve Buscemi, Simon Russell Beale, Paddy Considine, Rupert Friend, Jason Isaacs, Michael Palin, Andrea Riseborough, Jeffrey Tambor, Olga Kurylenko, Paul Chahidi",,,
Sol Levante,,,,,,,
Violet Evergarden: Eternity and the Auto Memory Doll,,,,"Yui Ishikawa, Minako Kotobuki, Aoi Yuki",,,
Agneepath,,,,"Amitabh Bachchan, Mithun Chakraborty, Danny Denzongpa, Madhavi, Neelam, Alok Nath, Rohini Hattangadi, Tinnu Anand, Vikram Gokhale, Archana Puran Singh",,,
Brothers,,,,"Akshay Kumar, Sidharth Malhotra, Jackie Shroff, Jacqueline Fernandez, Shefali Shah, Kulbhushan Kharbanda, Rajendranath Zutshi, Ashutosh Rana",,,
Chhota Bheem and the Curse of Damyaan,,,,"Kaustav Ghosh, Jigna Bhardwaj, Chutki, Rajesh Kava, Mausam, Guru Shambu, Arun Shekar, Julie Tejwani, Anamaya Verma",,,
David Batra: Elefanten i rummet,,,,David Batra,,,
Dostana,,,,"Abhishek Bachchan, John Abraham, Priyanka Chopra, Bobby Deol, Kiron Kher, Sushmita Mukherjee, Shrey Bawa, Boman Irani",,,
Duniya,,,,"Dilip Kumar, Rishi Kapoor, Pran, Amrita Singh, Ashok Kumar, Prem Chopra, Amrish Puri, Satyen Kappu, Mac Mohan, Javed Khan",,,
Duplicate,,,,"Shah Rukh Khan, Juhi Chawla, Sonali Bendre, Farida Jalal, Mohnish Bahl, Tiku Talsania, Gulshan Grover, Sharat Saxena",,,
Friendship,,,,"Amitabh Bachchan, Shatrughan Sinha, Zeenat Aman, Prem Chopra, Amrish Puri, Helen, Pran, Gajanan Jagirdar, Sajjan, Iftekhar",,,
Gori Tere Pyaar Mein,,,,"Imran Khan, Kareena Kapoor, Nizhalgal Ravi, Anupam Kher, Shraddha Kapoor, Esha Gupta, Sujata Kumar, Neelu Kohli",,,
Gumrah,,,,"Sanjay Dutt, Sridevi, Anupam Kher, Rahul Roy, Soni Razdan, Reema Lagoo, Kunika, Tom Alter, Bob Christo, Anang Desai",,,
Hasee Toh Phasee,,,,"Sidharth Malhotra, Parineeti Chopra, Adah Sharma, Manoj Joshi, Madhuri Sanjeev, Sharat Saxena, Nina Kulkarni, Anil Mange",,,
Humpty Sharma Ki Dulhania,,,,"Varun Dhawan, Alia Bhatt, Ashutosh Rana, Sidharth Shukla, Sahil Vaid, Gaurav Pandey, Jaswant Daman, Kenneth Desai, Deepika Amin, Mahnaz Damania",,,
Kaal,,,,"Ajay Devgn, Vivek Oberoi, John Abraham, Lara Dutta, Esha Deol, Vishal Malhotra, Kushal Punjabi, Vineet Sharma",,,
Kabhi Alvida Naa Kehna,,,,"Amitabh Bachchan, Shah Rukh Khan, Abhishek Bachchan, Rani Mukerji, Preity Zinta, Kiron Kher, Arjun Rampal",,,
Kabhi Khushi Kabhie Gham,,,,"Amitabh Bachchan, Jaya Bhaduri, Shah Rukh Khan, Kajol, Hrithik Roshan, Kareena Kapoor, Rani Mukerji, Farida Jalal, Himani Shivpuri, Alok Nath",,,
Kal Ho Naa Ho,,,,"Shah Rukh Khan, Saif Ali Khan, Preity Zinta, Jaya Bhaduri, Sushma Seth, Reema Lagoo, Lillete Dubey, Delnaaz Paul",,,
Kapoor & Sons,,,,"Rishi Kapoor, Sidharth Malhotra, Fawad Khan, Alia Bhatt, Ratna Pathak Shah, Rajat Kapoor",,,
Kuch Kuch Hota Hai,,,,"Shah Rukh Khan, Kajol, Rani Mukerji, Farida Jalal, Reema Lagoo, Salman Khan, Archana Puran Singh, Himani Shivpuri, Johny Lever, Anupam Kher, Sana Saeed",,,
Magnificent,,,,"Shahid Kapoor, Alia Bhatt, Pankaj Kapur, Sanjay Kapoor, Sushma Seth, Niki Walia, Sanah Kapur, Vikas Verma",,,
Mighty Raju Rio Calling,,,,,,,
Muqaddar ka Faisla,,,,"Raaj Kumar, Rakhee Gulzar, Raj Babbar, Tina Munim, Pran, Ranjeet, Meenakshi Sheshadri, Akbar Khan",,,
SETHUM AAYIRAM PON,,,,"Nivedhithaa Sathish, Srilekha Rajendran, Avinash Raghudevan, Gabrella Sellus, Rathaa Krishnan P., Rajendran",,,
The Little Vampire,,,,"Matthew Marsh, Rasmus Hardiker, Miriam Margolyes, Tim Pigott-Smith, Alice Krige, Amy Saville, Joseph Kloska, Diane Wilson, Phoebe Givron-Taylor, Jim Carter, Sven De Ridder",,,
The Runaways,,,,"Kristen Stewart, Dakota Fanning, Michael Shannon, Stella Maeve, Scout Taylor-Compton, Alia Shawkat, Riley Keough, Johnny Lewis, Tatum O'Neal, Brett Cullen, Hannah Marks",,,
Ungli,,,,"Emraan Hashmi, Randeep Hooda, Kangana Ranaut, Sanjay Dutt, Neha Dhupia, Angad Bedi, Neil Bhoopalam, Shraddha Kapoor",,,
Wildling,,,,"Bel Powley, Brad Dourif, Liv Tyler, Collin Kelly-Sordelet, James Le Gros",,,
A truthful Mother,,,,"Revathi, Roger Narayanan, Sneha Ravishankar, Vidya Shankar, SR Leela",,,
Dave Chappelle: The Kennedy Center Mark Twain Prize for American Humor,,,,,,,
Greater,,,,"Neal McDonough, Leslie Easterbrook, Christopher Severio, Michael Parks, Nick Searcy, Peter Gray Lewis, Fredric Lehne, M.C. Gainey, Texas Battle, Josh Emerson",,,
Indian Horse,,,,"Sladen Peltier, Forrest Goodluck, Ajuawak Kapashesit, Martin Donovan, Michael Murphy, Michiel Huisman, Edna Manitowabi, Michael Lawrenchuk, Will Strongheart, Tristen Marty-Pahtaykan, Vance Banzo",,,
Paharganj,,,,"Lorena Franco, Bijesh Jayarajan, Neet Chowdhary, Rajeev Gaursingh, Karran Jeet, Rajesh Sharma, Gautam Kurup, Poonam Mathur, Salman Khan, Manish Devkush",,,
Pretty Little Stalker,,,,"Nicky Whelan, Ashley Rickards, Parker Mack, Jesse Hutch, Sierra McCormick, Heather Morris, Jason Cermak, Kourtney Hansen, Jane Harber, Cory Hart, Kim DeJesus",,,
Through My Father's Eyes: The Ronda Rousey Story,,,,Ronda Rousey,,,
Kannum Kannum Kollaiyadithaal,,,,"Dulquer Salmaan, Ritu Varma, Rakshan, Niranjani, Gautham Menon, Anish Kuruvilla",,,
Rogue Warfare,,,,"Will Yun Lee, Jermaine Love, Rory Markham, Bertrand-Xavier Corbi, Katie Keene, Fernando Chien, Gina DeCesare, Michael Blalock, Chris Mulkey, Stephen Lang",,,
Dragons: Rescue Riders: Hunt for the Golden Dragon,,,,"Noah Kaye Bentley, Brennley Brown, Zach Callison, Nicolas Cantu, Skai Jackson, Marsai Martin, Andre Robinson, Carlos Alazraqui, Jeff Bennett, Grey Griffin, Mary Elizabeth McGlynn",,,
Maska,,,,"Manisha Koirala, Prit Kamani, Shirley Setia, Nikita Dutta, Javed Jaffrey, Dhruv Lohumi",,,
The Decline,,,,"Guillaume Laurin, Marie-Evelyne Lessard, Réal Bossé, Marc-André Grondin, Marc Beaupré, Marilyn Castonguay, Guillaume Cyr, Isabelle Giroux, Juliette Maxyme Proulx",,,
There's Something in the Water,,,,Ellen Page,,,
True: Wuzzle Wegg Day,,,,"Michela Luci, Jamie Watson, Eric Peterson, Anna Claire Bartlam, Nicolas Aqui, Cory Doran, Julie Lemieux",,,
Uncorked,,,,"Mamoudou Athie, Courtney B. Vance, Niecy Nash, Sasha Compère, Bernard D. Jones, Gil Ozeri, Matt McGorry, Meera Rohit Kumbhani",,,
Willy and the Guardians of the Lake: Tales from the Lakeside Winter Adventure,,,,"Csongor Szalay, Anna Kubik, Sári Vida, András Faragó, Róbert Bolla",,,
Happy Old Year,,,,"Chutimon Chuengcharoensukying, Sunny Suwanmethanont, Sarika Sartsilpsupa, Thirawat Ngosawang, Apasiri Nitibhon, Patcha Kitchaicharoen",,,
Making Unorthodox,,,,,,,
Bethany Hamilton: Unstoppable,,,,Bethany Hamilton,,,
Crip Camp: A Disability Revolution,,,,,,,
Curtiz,,,,"Ferenc Lengyel, Evelin Dobos, Declan Hannigan, Scott Alexander Young, József Gyabronka, Nikolett Barabas, Yan Feldman, Rafael Feldman, Christopher Krieg, Andrew Hefler, Lili Bordán",,,
The Occupant,,,,"Javier Gutiérrez, Mario Casas, Bruna Cusí, Ruth Díaz",,,
Tom Segura: Ball Hog,,,,Tom Segura,,,
A Life of Speed: The Juan Manuel Fangio Story,,,,,,,
El silencio es bienvenido,,,,"Eileen Yáñez, Jorge Luis Moreno, Daniela Newton, Andrea Newton, Luis Eduardo Yee, Enrique Medina, Roberto Fiesco",,,
Ultras,,,,"Aniello Arena, Antonia Truppo, Ciro Nacca, Simone Borelli, Daniele Vicorito, Salvatore Pelliccia",,,
3022,,,,"Omar Epps, Kate Walsh, Miranda Cosgrove, Angus Macfadyen, Jorja Fox, Enver Gjokaj, Haaz Sleiman",,,
Altered Carbon: Resleeved,,,,"Tatsuhisa Suzuki, Rina Satou, Ayaka Asai, Jouji Nakata, Kenji Yamauchi, Kanehira Yamamoto, Koji Ishii",,,
Masameer - The Movie,,,,"Malik Nejer, Shahad Alahmari, Abdulaziz Almuzaini, Yousef Aldakheel",,,
AllI Wish,,,,"Sharon Stone, Tony Goldwyn, Liza Lapira, Ellen Burstyn, Jason Gibson, Famke Janssen, Caitlin Fitzgerald, Gilles Marini, Erica Ash, Tom Paolino",,,
Lu Over the Wall,,,,"Kanon Tani, Shota Shimoda, Shinichi Shinohara, Akira Emoto, Soma Saito, Minako Kotobuki, Daigo, Nobu",,,
XV: Beyond the Tryline,,,,,,,
Bert Kreischer: Hey Big Boy,,,,Bert Kreischer,,,
Search Party,,,,"T.J. Miller, Adam Pally, Thomas Middleditch, Lance Reddick, Shannon Woodward, Alison Brie, Krysten Ritter, Jason Mantzoukas",,,
Bypass Road,,,,"Neil Nitin Mukesh, Adah Sharma, Rajit Kapoor, Gul Panag, Shama Sikander, Manish Chaudhary, Sudhanshu Pandey, Taher Shabbir",,,
Digs & Discoveries: All Track's Lead to Rome,,,,"Joseph May, Anna Francolini, Antonio Magro, Montserrat Lombard, Flaminia Cinque, Keith Wickham",,,
Digs & Discoveries: Mines of Mystery,,,,"Joseph May, Flaminia Cinque, Anna Francolini, Teresa Gallagher, Montserrat Lombard, Antonio Magro, Vincenzo Nicoli",,,
Steam Team to the Rescue,,,,"Joseph May, Keith Wickham, Yvonne Grundy, Jules De Jongh, Rachael Louise Miller, Rob Rackstraw, Christopher Ragland, Kerry Shale, Teresa Gallagher, Bob Golding",,,
Jai Mummy Di,,,,"Poonam Dhillon, Supriya Pathak, Sunny Singh, Sonalli Sehgall, Rajendra Sethi, Veer Rajwant Singh, Danish Husain, Alok Nath",,,
Baby Mamas,,,,"Salamina Mosese, Kay Smith, Thembisa Mdoda, Dineo Ranaka, Sthembiso Khoza, Khaya Mthembu, Jonathan Boynton-Lee, Nicholas Nkuna, Donovan Pietersen, Pamela Nomvete",,,
Go Karts,,,,"William Lodder, Anastasia Bampos, Darius Amarfio-Jefferson, Richard Roxburgh, Frances O'Connor, Dan Wyllie, Cooper van Grootel, Damian de Montemas, Adam T. Perkins",,,
Justine,,,,"Stephanie Turner, Glynn Turman, Daisy Prescott, Darby Stanchfield, Josh Stamberg, Bridget Kallal, Ravi Cabot-Conyers, Cleo King, Melanie Hutsell",,,
Lost Girls,,,,"Amy Ryan, Gabriel Byrne, Thomasin McKenzie, Lola Kirke, Oona Laurence, Dean Winters, Miriam Shor, Reed Birney, Kevin Corrigan, Stan Carp",,,
Miracle in Cell No. 7,,,,"Aras Bulut İynemli, Nisa Sofiya Aksongur, Deniz Baysal, Celile Toyon Uysal, İlker Aksum, Mesut Akusta",,,
Carmen Sandiego: To Steal or Not to Steal,,,,"Gina Rodriguez, Finn Wolfhard, Abby Trott, Michael Hawley, Liam O'Brien, Mary Elizabeth McGlynn, Toks Olagundoye, Sharon Muthu",,,
Marc Maron: End Times Fun,,,,Marc Maron,,,
Sitara: Let Girls Dream,,,,,,,
Alakada Reloaded,,,,"Kehinde Bankole, Lilian Esoro, Bolaji Amusan, Toyin Abraham, Gabriel Afolayan, Bidemi Kosoko, Wumi Toriola, Tayo Amokade, Helen Paul, Liz DaSilva",,,
All About Love,,,,"Chris Attoh, Katlego Danke, Enyinna Nwigwe, Nomzamo Mbatha, Richard Lukunku, Zenande Mfenyane, Leroy Gopal, Angela Sithole",,,
Guilty,,,,"Kiara Advani, Akansha Ranjan Kapoor, Gurfateh Pirzada, Taher Shabbir, Niki Walia, Manu Rishi Chadha, Dalip Tahil, Kunal Vijaykar",,,
I am Jonas,,,,"Félix Maritaud, Nicolas Bauwens, Tommy Lee Baïk, Aure Atika, Marie Denarnaud, Ilian Bergala, Pierre Cartonnet, Marcel Bouzige, Nicolas Sartous",,,
Miles Davis: Birth of the Cool,,,,"Miles Davis, Carl Lumbly",,,
Spenser Confidential,,,,"Mark Wahlberg, Winston Duke, Alan Arkin, Bokeem Woodbine, Iliza Shlesinger, Hope Olaide Wilson, Marc Maron",,,
Twin Murders: the Silence of the White City,,,,"Belén Rueda, Javier Rey, Aura Garrido, Manolo Solo, Alex Brendemühl, Ramón Barea, Sergio Dorado, Allende Blanco, Rubén Ochandiano",,,
93 Days,,,,"Bimbo Akintola, Somkele Iyamah, Danny Glover, Gideon Okeke, Seun Kentebe, Keppy Ekpenyong, Zara Udofia Ejoh, Bimbo Manuel, Patrick Diabuah, Tina Mba, Alastair Mackenzie, Tim Reid",,,
Angu Vaikuntapurathu (Malayalam),,,,"Allu Arjun, Pooja Hegde, Tabu, Sushanth, Nivetha Pethuraj, Jayaram, Murli Sharma",,,
Tootsies & The Fake,,,,"Araya A. Hargate, Paopetch Charoensook, Thongkanthom Thongchai, Ratthanant Janyajirawong, Pattarasaya Kreuasuwansri, Gunn Svasti Na Ayudhya, Kritsanapoom Pibulsonggram, Keetapat Pongruea",,,
Aurora,,,,"Cristi Puiu, Clara Voda, Catrinel Dumitrescu, Luminita Gheorghiu, Valentin Popescu, Gheorghe Ifrim, Ileana Puiu, Valeria Seciu, Gelu Colceag",,,
Lil Peep: Everybody’s Everything,,,,Lil Peep,,,
The Death of Mr. Lazarescu,,,,"Monica Bârlădeanu, Ion Fiscuteanu, Doru Ana, Dragos Bucur, Gabriel Spahiu, Dan Chiriac, Luminita Gheorghiu, Alina Berzunteanu, Dana Dogaru, Mimi Brănescu",,,
Freaks,,,,"Emile Hirsch, Bruce Dern, Lexy Kolker, Grace Park, Amanda Crew, Aleks Paunovic, Michelle Harrison",,,
Luccas Neto in: The End of Christmas,,,,"Luccas Neto, Giovanna Alparone, Cleber Salgado, Bruno Bebianno, Lucas Margutti, Vivian Duarte",,,
Taylor Tomlinson: Quarter-Life Crisis,,,,Taylor Tomlinson,,,
The Last Bomb of the Second World War,,,,"Dinesh, Anandhi, Munishkanth, Riythvika, John Vijay",,,
Uncovered,,,,"Nqobile Khumalo, Robert Hobbs, S'Thandiwe Kgoroge, Dumisani Mbebe, Thandeka Nodada, Fezile Makhanya",,,
W.E.,,,,"Abbie Cornish, Andrea Riseborough, James D'Arcy, Oscar Isaac, Richard Coyle, David Harbour, James Fox, Judy Parfitt, Haluk Bilginer, Geoffrey Palmer, Natalie Dormer",,,
Fat Ballerina - David A. Arnold,,,,David A. Arnold,,,
Bhangra Paa Le,,,,"Sunny Kaushal, Rukshar Dhillon, Shriya Pilgaonkar, Parmeet Sethi, Samir Soni, Chaitanya Sharma, Sheeba Chaddha, Akarsh Khurana",,,
Calico Critters: Everyone's Big Dream Flying in the Sky,,,,Erika Harlacher,,,
Frank & Lola,,,,"Michael Shannon, Imogen Poots, Michael Nyqvist, Justin Long, Stella Schnabel, Rosanna Arquette, Emmanuelle Devos",,,
Hugo,,,,"Ben Kingsley, Sacha Baron Cohen, Asa Butterfield, Chloë Grace Moretz, Ray Winstone, Emily Mortimer, Christopher Lee, Helen McCrory, Michael Stuhlbarg, Frances de la Tour, Jude Law, Johnny Depp, Edmund Kingsley, Richard Griffiths, Angus Barnett, Michael Pitt, Gulliver McGrath, Eric Moreau, Chloe Grace Moretz",,,
Ordinary World,,,,"Billie Joe Armstrong, Fred Armisen, Judy Greer, Selma Blair, Chris Messina, Brian Baumgartner, John Doman, Madisyn Shipman, Kevin Corrigan, Mia Dillon, Lucas Papaelias",,,
"Pop, Lock 'n Roll",,,,"Maurice Paige, Yasirah Bhelz, Lionel Newton, Tarryn Alberts, Sandile Sand Zulu, Duane Lawrence, Robyn Brophy, Brady Brophy, Raylene Jacobs, Jason Meyer",,,
There Will Be Blood,,,,"Daniel Day-Lewis, Paul Dano, Kevin J. O'Connor, Ciarán Hinds, Dillon Freasier, Sydney McCallister, David Willis, David Warshofsky, Colton Woodward, Russell Harvard",,,
Velvet Colección: Grand Finale,,,,"Marta Hazas, Asier Etxeandia, Adrián Lastra, Javier Rey, Llorenç González, Andrea Duro, Fernando Guallar, Diego Martín, Andrés Velencoso, Maxi Iglesias",,,
Voulez-vous rire avec moi ce soir?,,,,"Gad Elmaleh, Eddie Izzard, Bill Burr, Todd Barry, Kyan Khojandi, Judah Friedlander, Blanche Gardin, Mike Ward, Igor Meerson, Dan Naturman, Tony Law, Daniel Gagnon, Sebastian Marx, Michael Mittermeier, Paul Taylor, Korine Côté, Guillermo Guiz, Virginie Fortin, Francesco De Carlo",,,
ZZ TOP: THAT LITTLE OL' BAND FROM TEXAS,,,,,,,
All The Bright Places,,,,"Elle Fanning, Justice Smith, Luke Wilson, Keegan-Michael Key, Alexandra Shipp, Lamar Johnson, Virginia Gardner, Kelli O'Hara, Felix Mallard, Sofia Hasmik",,,
Amit Tandon: Family Tandoncies,,,,Amit Tandon,,,
Ala Vaikunthapurramuloo,,,,"Allu Arjun, Pooja Hegde, Tabu, Sushanth, Nivetha Pethuraj, Jayaram, Murli Sharma",,,
Pokémon: Mewtwo Strikes Back - Evolution,,,,"Sarah Natochenny, Dan Green, Bill Rogers, Michele Knotz, Alyson Leigh Rosenfeld, Rodger Parsons",,,
Couple of Days,,,,"Lilian Esoro, Ademola Adedoyin, Enyima Nwigwe, Kiki Omeili, Okey Uzoeshi, Adesua Etomi, Olayode Juliana, Falz",,,
Gbomo Gbomo Express,,,,"Ramsey Nouah, Gideon Okeke, Osas Ighodaro Ajibade, Blossom Chukwujekwu, Kiki Omeili, Gbenro Ajibade, Ikechukwu, Alexx Ekubo, Shaffy Bello",,,
Taxi Driver,,,,"Odunlade Adekola, Ijeoma Grace Agu, Richard Akinlade, Babajide Alimison, Hafeez Oyetoro, Femi Jacobs, Toyin Oshinaike, Kelechi Udegbe",,,
The Arbitration,,,,"Adesua Etomi, O.C. Ukeje, Ireti Doyle, Sola Fosudo, Somkele Iyamah, Lota Chukwu, Gregory Ojefua, Beverly Naya, Bimbo Ademoye, Pius Fatoke",,,
The Visit,,,,"Nse Ikpe-Etim, Femi Jacobs, Blossom Chukwujekwu, Bayray McNwizu",,,
When Love Happens,,,,"Weruche Opia, Gideon Okeke, Beverly Naya, O.C. Ukeje, Shaffy Bello, Oreka Godis",,,
Pete Davidson: Alive From New York,,,,Pete Davidson,,,
Full Count,,,,"John Paul Kakos, Natalia Livingston, E. Roger Mitchell, Rick Hearst, Jason London, Victoria Elizabeth Staley, Adam Boyer",,,
Girl on the Third Floor,,,,"CM Punk, Trieste Kelly Dunn, Sarah Brooks, Elissa Dowling, Karen Woditsch, Marshall Bean, Anish Jethmalani, Bishop Stevens, Tonya Kay",,,
System Crasher,,,,"Helena Zengel, Albrecht Schuch, Gabriela Maria Schmeide, Lisa Hagmeister, Melanie Straub, Victoria Trauttmansdorff, Maryam Zaree, Tedros Teclebrhan",,,
The Body,,,,"Rishi Kapoor, Emraan Hashmi, Sobhita Dhulipala, Vedika, Anupam Bhattacharya, Chandan Anand, Arif Zakaria, Rukhsar Ahmed",,,
The Last Thing He Wanted,,,,"Anne Hathaway, Ben Affleck, Willem Dafoe, Toby Jones, Rosie Perez, Edi Gathegi, Mel Rodriguez, Onata Aprile",,,
Yeh Ballet,,,,"Julian Sands, Manish Chauhan, Achintya Bose, Jim Sarbh, Danish Husain, Vijay Maurya, Heeba Shah, Kalyanee Mulay",,,
Pretville,,,,"Marlee van der Merwe, Eugene Jensen, Marno van der Merwe, Lizelle de Klerk, Steve Hofmeyr, Sanet Ackermann, Terence Bridgett, Annette Engelbrecht, Rina Nienaber, Lizz Meiring",,,
Untamed Romania,,,,,,,
By the Sea,,,,"Angelina Jolie, Brad Pitt, Mélanie Laurent, Melvil Poupaud, Niels Arestrup, Richard Bohringer",,,
Miss Virginia,,,,"Uzo Aduba, Matthew Modine, Aunjanue Ellis, Niles Fitch, Amirah Vann, Nadji Jeter, Michael Beasley, Adina Porter, Vanessa Williams",,,
MR. RIGHT,,,,"Sam Rockwell, Anna Kendrick, Tim Roth, James Ransone, Anson Mount, Michael Eklund, RZA, Katie Nehra",,,
Term Life,,,,"Vince Vaughn, Hailee Steinfeld, Jonathan Banks, Bill Paxton, Mike Epps, Jordi Mollà, William Levy, Jon Favreau, Taraji P. Henson, Shea Whigham, Cain Velasquez",,,
The Forest,,,,"Natalie Dormer, Taylor Kinney, Yukiyoshi Ozawa, Eoin Macken, Stephanie Vogt, Rina Takasaki, Noriko Sakura, Yuho Yamashita",,,
Monster High: Electrified,,,,"Debi Derryberry, Cassandra Morris, Salli Saffioti, Larissa Gallagher, Cristina Milizia, Jonquil Goode, Travis Dresden, Evan Smith, Michael Sorich, Sara Cravens",,,
A Shaun the Sheep Movie: Farmageddon,,,,"Justin Fletcher, John Sparkes, Amalia Vitale, Kate Harbour, David Holt",,,
